cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
FibrosarcomaCongenital Fibrosarcoma	Soft Tissue	mixed_pipseq_2017	Fibrosarcoma	Congenital Fibrosarcoma	mixed	Mixed Cancer Types
Gastrointestinal Neuroendocrine TumorGastrointestinal Neuroendocrine Tumors	Esophagus/Stomach	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumors	msk	NA
Gastrointestinal Neuroendocrine TumorHigh-Grade Neuroendocrine Carcinoma of the Colon and Rectum	Bowel	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	msk	NA
Gastrointestinal Neuroendocrine TumorSmall Bowel Well-Differentiated Neuroendocrine Tumor	Bowel	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Small Bowel Well-Differentiated Neuroendocrine Tumor	msk	NA
Gastrointestinal Neuroendocrine TumorWell-Differentiated Neuroendocrine Tumor of the Appendix	Appendix	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Appendix	msk	NA
Gastrointestinal Neuroendocrine TumorWell-Differentiated Neuroendocrine Tumor of the Rectum	Bowel	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Rectum	msk	NA
Gastrointestinal Neuroendocrine TumorWell-Differentiated Neuroendocrine Tumors of the Stomach	Esophagus/Stomach	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumors of the Stomach	msk	NA
Gastrointestinal Stromal TumorGastrointestinal Stromal Tumor	Esophagus/Stomach	msk_impact_2017	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	msk	NA
Germ Cell TumorChoriocarcinoma	Germ Cell	msk_impact_2017	Germ Cell Tumor	Choriocarcinoma	msk	NA
Germ Cell TumorEmbryonal Carcinoma	Germ Cell	msk_impact_2017	Germ Cell Tumor	Embryonal Carcinoma	msk	NA
Germ Cell TumorImmature Teratoma	Germ Cell	msk_impact_2017	Germ Cell Tumor	Immature Teratoma	msk	NA
Germ Cell TumorMature Teratoma	Germ Cell	msk_impact_2017	Germ Cell Tumor	Mature Teratoma	msk	NA
Germ Cell TumorMixed Germ Cell Tumor	Germ Cell	msk_impact_2017	Germ Cell Tumor	Mixed Germ Cell Tumor	msk	NA
Germ Cell TumorNon-Seminomatous Germ Cell Tumor	Testis	gct_msk_2016	Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor	gct	Granular Cell Tumor
Germ Cell TumorSeminoma	Testis	gct_msk_2016	Germ Cell Tumor	Seminoma	gct	Granular Cell Tumor
Germ Cell TumorTeratoma	Testis	msk_impact_2017	Germ Cell Tumor	Teratoma	msk	NA
Germ Cell TumorTeratoma with Malignant Transformation	Germ Cell	msk_impact_2017	Germ Cell Tumor	Teratoma with Malignant Transformation	msk	NA
Germ Cell Tumortgct_tcga	Germ Cell	tgct_tcga	Germ Cell Tumor	tgct_tcga	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Germ Cell TumorYolk Sac Tumor	Germ Cell	msk_impact_2017	Germ Cell Tumor	Yolk Sac Tumor	msk	NA
Gestational Trophoblastic DiseaseChoriocarcinoma	Germ Cell	msk_impact_2017	Gestational Trophoblastic Disease	Choriocarcinoma	msk	NA
Glioblastoma MultiformeGlioblastoma Multiforme	CNS/Brain	gbm_tcga_pub	Glioblastoma Multiforme	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
GlioblastomaGlioblastoma Multiforme	CNS/Brain	gbm_tcga_pan_can_atlas_2018	Glioblastoma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
GlioblastomaGlioblastoma multiforme	CNS/Brain	mixed_pipseq_2017	Glioblastoma	Glioblastoma multiforme	mixed	Mixed Cancer Types
GliomaAnaplastic Astrocytoma	CNS/Brain	lgg_tcga	Glioma	Anaplastic Astrocytoma	lgg	NA
GliomaAnaplastic Ganglioglioma	CNS/Brain	msk_impact_2017	Glioma	Anaplastic Ganglioglioma	msk	NA
GliomaAnaplastic Oligoastrocytoma	CNS/Brain	odg_msk_2017	Glioma	Anaplastic Oligoastrocytoma	odg	Oligodendroglioma
GliomaAnaplastic Oligodendroglioma	CNS/Brain	odg_msk_2017	Glioma	Anaplastic Oligodendroglioma	odg	Oligodendroglioma
GliomaAnaplastic Pleomorphic Xanthoastrocytoma	CNS/Brain	msk_impact_2017	Glioma	Anaplastic Pleomorphic Xanthoastrocytoma	msk	NA
GliomaAstrocytoma	CNS/Brain	lgg_tcga	Glioma	Astrocytoma	lgg	NA
GliomaDiffuse Glioma	CNS/Brain	lgg_tcga	Glioma	Diffuse Glioma	lgg	NA
GliomaDiffuse Intrinsic Pontine Glioma	CNS/Brain	msk_impact_2017	Glioma	Diffuse Intrinsic Pontine Glioma	msk	NA
GliomaGanglioglioma	CNS/Brain	msk_impact_2017	Glioma	Ganglioglioma	msk	NA
GliomaGlioblastoma	CNS/Brain	glioma_msk_2018	Glioma	Glioblastoma	glioma	NA
GliomaGlioblastoma Multiforme	CNS/Brain	gbm_tcga_pub2013	Glioma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
GliomaGliosarcoma	CNS/Brain	glioma_msk_2018	Glioma	Gliosarcoma	glioma	NA
GliomaHigh-Grade Glioma, NOS	CNS/Brain	glioma_msk_2018	Glioma	High-Grade Glioma, NOS	glioma	NA
GliomaLow-Grade Glioma, NOS	CNS/Brain	msk_impact_2017	Glioma	Low-Grade Glioma, NOS	msk	NA
GliomaOligoastrocytoma	CNS/Brain	lgg_tcga	Glioma	Oligoastrocytoma	lgg	NA
GliomaOligodendroglioma	CNS/Brain	lgg_tcga	Glioma	Oligodendroglioma	lgg	NA
GliomaPilocytic Astrocytoma	CNS/Brain	msk_impact_2017	Glioma	Pilocytic Astrocytoma	msk	NA
